"id","name","arabic_name","include_initial_balance","code","note","location","type","debit_credit"
"account.data_account_type_receivable","Receivable","الذمم والمدينون","True","102","","Current asset","Receivable","debit"
"account.data_account_type_payable","Accounts Payable","دمم دائنه وموردين","True","301","","Current liabilities","Payable","credit"
"account.data_account_type_liquidity","Bank and Cash","النقديه والبنوك","True","101","","Current asset","Liquidity","debit"
"account.data_account_type_current_assets","Other Current Assets","أصول متداوله أخرى","True","106","","Current asset","other","debit"
"account.data_account_type_non_current_assets","Cars and Other Vechiles","السيارات والمركبات الأخرى","True","204","","Non-Current asset","other","debit"
"account.data_account_type_prepayments","Prepaid Expenses","مصروفات مدفوعه مقدما","True","104","","Current asset","other","debit"
"account.data_account_type_fixed_assets","Other fixed assets","أصول ثابته أخرى","True","208","","Non-Current asset","other","debit"
"account.data_account_type_current_liabilities","Other current liabilities  ","التزامات متداوله اخرى","True","305","","Current liabilities","other","credit"
"account.data_account_type_non_current_liabilities","Other non-current liabilities","التزامات اخرى طويلة الأجل","True","404","","Non-current liabilities","other","credit"
"account.data_account_type_equity","capital","رأس المال","True","501","","Equity","other","credit"
"account.data_unaffected_earnings","Current Year Earnings","ارباح السنه","True","503","","Equity","other","credit"
"account.data_account_type_other_income","Other Income","ايرادات أخرى","False","602","","Income","other","credit"
"account.data_account_type_revenue","Sales Revenue","ايرادات المبيعات","False","601","","Income","other","credit"
"account.data_account_type_depreciation","Depreciation Expenses","مصاريف الاهلاك","False","708","","Expenses","other","debit"
"account.data_account_type_expenses","Other operational expenses","مصروفات تشغيلية اخرى","False","711","","Expenses","other","debit"
"account.data_account_type_direct_costs","Cost of goods sold","تكلفة البضاعه المباعه","False","701","","Expenses","other","debit"
"account_account_type_17","Warehouse","المخازن والمستودعات","True","103","","Current asset","other","debit"
"account_account_type_19","Short Term Investments","استثمارات قصيرة الأجل","True","105","","Current asset","other","debit"
"account_account_type_21","Short Term Loans To Others","قروض قصيرة الأجل مقدمه للغير","True","107","","Current asset","other","debit"
"account_account_type_22","Non-Financial Custody ( Short term )","عهد غير ماليه قصيرة الأجل","True","108","يستخدم هذا النوع من الحسابات فى للربط مع الحسابات التى طبيعتها عهد غير مالية قصيرة الأجل .. مثل شرائح الاتصالات - ملابس العمال - بشرط ان يكون متوقع استلام تلك العهد من الموظفين خلال فتره لا تزيد عن 3 أشهر. ","Current asset","other","debit"
"account_account_type_23","Financial Custody ( Short Term )","عهد ماليه قصيرة الأجل","True","109","يستخدم هذا النوع من الحسابات للربط مع الحسابات التى تحمل طابع العهد الماليه قصيرة الأجل . مثلا عند اعطاء أحد الموظفين عهده نقديه او سلفه نقديه بمبلغ معين . على ان تتم تسوية هذه العهده فى خلال فتره لا تزيد عن 12 شهر . ويستخدم هذا النوع غالبا مع عده الموظفين سواء فى الفرع الرئيسيى او الفروع او محاسب المشروع .. ومن الأمثله الاخرى التى تنطبق على هذه النقطه . العهد المستديمه والعهد المؤقته.","Current asset","Receivable","debit"
"account_account_type_24","Long Term investments","استثمارات طويلة الأجل","True","201","","Non-Current asset","other","debit"
